original_title,recommend_movie
Superman Returns,"
Recommended Movies: 
X-Men: Days of Future Past | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 7.5
X-Men | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
X2 | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.8
Jack the Giant Slayer | Genres: 'Action','Family','Fantasy' | Rating: 5.5
X-Men: Apocalypse | Genres: 'ScienceFiction' | Rating: 6.4
The Usual Suspects | Genres: 'Crime','Drama','Thriller' | Rating: 8.1
Valkyrie | Genres: 'Drama','History','Thriller','War' | Rating: 6.7
Superman II | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
Man of Steel | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
Superman | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.9
"
Quantum of Solace,"
Recommended Movies: 
Machine Gun Preacher | Genres: 'Action','Crime','Thriller' | Rating: 6.4
World War Z | Genres: 'Action','Drama','Horror','ScienceFiction','Thriller' | Rating: 6.7
Finding Neverland | Genres: 'Drama' | Rating: 7.2
Everything Put Together | Genres: 'Drama' | Rating: 5.0
The Kite Runner | Genres: 'Drama' | Rating: 7.3
Stranger Than Fiction | Genres: 'Comedy','Drama','Fantasy','Romance' | Rating: 7.1
Monster's Ball | Genres: 'Drama','Romance' | Rating: 6.5
Into the Blue | Genres: 'Action','Adventure','Crime','Thriller' | Rating: 5.8
The River Wild | Genres: 'Action','Adventure','Crime','Thriller' | Rating: 6.1
Assassins | Genres: 'Action','Adventure','Crime','Thriller' | Rating: 6.0
"
Pirates of the Caribbean: Dead Man's Chest,"
Recommended Movies: 
Pirates of the Caribbean: At World's End | Genres: 'Action','Adventure','Fantasy' | Rating: 6.9
Pirates of the Caribbean: The Curse of the Black Pearl | Genres: 'Action','Adventure','Fantasy' | Rating: 7.5
The Lone Ranger | Genres: 'Action','Adventure','Western' | Rating: 5.9
Rango | Genres: 'Adventure','Animation','Comedy','Family','Western' | Rating: 6.6
The Mexican | Genres: 'Action','Comedy','Crime','Romance' | Rating: 5.8
The Weather Man | Genres: 'Comedy','Drama' | Rating: 6.0
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
The 13th Warrior | Genres: 'Action','Adventure','Fantasy' | Rating: 6.4
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
"
The Lone Ranger,"
Recommended Movies: 
Pirates of the Caribbean: At World's End | Genres: 'Action','Adventure','Fantasy' | Rating: 6.9
Pirates of the Caribbean: Dead Man's Chest | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Pirates of the Caribbean: The Curse of the Black Pearl | Genres: 'Action','Adventure','Fantasy' | Rating: 7.5
Rango | Genres: 'Adventure','Animation','Comedy','Family','Western' | Rating: 6.6
The Mexican | Genres: 'Action','Comedy','Crime','Romance' | Rating: 5.8
The Weather Man | Genres: 'Comedy','Drama' | Rating: 6.0
Indiana Jones and the Last Crusade | Genres: 'Action','Adventure' | Rating: 7.6
Blackthorn | Genres: 'Action','Adventure','Western' | Rating: 6.6
The Mask of Zorro | Genres: 'Action','Adventure' | Rating: 6.3
Shanghai Knights | Genres: 'Action','Adventure','Comedy','Western' | Rating: 6.0
"
Man of Steel,"
Recommended Movies: 
Batman v Superman: Dawn of Justice | Genres: 'Action','Adventure','Fantasy' | Rating: 5.7
300 | Genres: 'Action','Adventure','War' | Rating: 7.0
Sucker Punch | Genres: 'Action','Fantasy','Thriller' | Rating: 5.9
Legend of the Guardians: The Owls of Ga'Hoole | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.5
Dawn of the Dead | Genres: 'Action','Fantasy','Horror' | Rating: 6.8
Watchmen | Genres: 'Action','Mystery','ScienceFiction' | Rating: 7.0
Superman | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.9
Superman Returns | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 5.4
Superman II | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
X-Men: Days of Future Past | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 7.5
"
The Chronicles of Narnia: Prince Caspian,"
Recommended Movies: 
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe | Genres: 'Adventure','Family','Fantasy' | Rating: 6.7
Cirque du Soleil: Worlds Away | Genres: 'Family','Fantasy' | Rating: 6.1
The Chronicles of Narnia: The Voyage of the Dawn Treader | Genres: 'Adventure','Family','Fantasy' | Rating: 6.2
Alice in Wonderland | Genres: 'Adventure','Family','Fantasy' | Rating: 6.4
City of Ember | Genres: 'Adventure','Family','Fantasy' | Rating: 6.2
Inkheart | Genres: 'Adventure','Family','Fantasy' | Rating: 6.0
Return to Oz | Genres: 'Adventure','Family','Fantasy' | Rating: 6.7
The Spiderwick Chronicles | Genres: 'Adventure','Family','Fantasy' | Rating: 6.3
The Adventurer: The Curse of the Midas Box | Genres: 'Adventure','Family','Fantasy' | Rating: 5.1
Pete's Dragon | Genres: 'Adventure','Family','Fantasy' | Rating: 6.2
"
The Avengers,"
Recommended Movies: 
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
Serenity | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.4
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Captain America: The Winter Soldier | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.6
Pacific Rim | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
Independence Day: Resurgence | Genres: 'Action','Adventure','ScienceFiction' | Rating: 4.9
Captain America: The First Avenger | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Megaforce | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.5
Iron Man 3 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
"
Pirates of the Caribbean: On Stranger Tides,"
Recommended Movies: 
Into the Woods | Genres: 'Comedy','Fantasy','Music' | Rating: 5.6
Chicago | Genres: 'Action','Comedy','Crime','Drama','Music' | Rating: 6.9
Nine | Genres: 'Drama','Music','Romance' | Rating: 5.1
Memoirs of a Geisha | Genres: 'Drama','History','Romance' | Rating: 7.3
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
Reign of Fire | Genres: 'Action','Adventure','Fantasy' | Rating: 6.0
Dungeons & Dragons: Wrath of the Dragon God | Genres: 'Action','Adventure','Fantasy' | Rating: 4.8
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
Pirates of the Caribbean: At World's End | Genres: 'Action','Adventure','Fantasy' | Rating: 6.9
Pirates of the Caribbean: Dead Man's Chest | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
"
Men in Black 3,"
Recommended Movies: 
Men in Black II | Genres: 'Action','Adventure','Comedy','ScienceFiction' | Rating: 6.0
Men in Black | Genres: 'Action','Adventure','Comedy','ScienceFiction' | Rating: 6.9
Wild Wild West | Genres: 'Action','Adventure','Comedy','ScienceFiction','Western' | Rating: 5.1
Big Trouble | Genres: 'Action','Comedy','Thriller' | Rating: 6.3
Get Shorty | Genres: 'Comedy','Crime','Thriller' | Rating: 6.4
The Addams Family | Genres: 'Comedy','Fantasy','Horror' | Rating: 6.7
The Helix... Loaded | Genres: 'Action','Comedy','ScienceFiction' | Rating: 4.8
Attack the Block | Genres: 'Action','Comedy','ScienceFiction' | Rating: 6.3
Pixels | Genres: 'Action','Comedy','ScienceFiction' | Rating: 5.6
Death Race 2000 | Genres: 'Action','Comedy','ScienceFiction' | Rating: 5.9
"
The Hobbit: The Battle of the Five Armies,"
Recommended Movies: 
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
The Hobbit: The Desolation of Smaug | Genres: 'Adventure','Fantasy' | Rating: 7.6
The Lord of the Rings: The Fellowship of the Ring | Genres: 'Action','Adventure','Fantasy' | Rating: 8.0
The Lord of the Rings: The Return of the King | Genres: 'Action','Adventure','Fantasy' | Rating: 8.1
The Lord of the Rings: The Two Towers | Genres: 'Action','Adventure','Fantasy' | Rating: 8.0
King Kong | Genres: 'Action','Adventure','Drama' | Rating: 6.6
The Lovely Bones | Genres: 'Drama','Fantasy' | Rating: 6.6
Heavenly Creatures | Genres: 'Drama','Fantasy' | Rating: 7.0
Krull | Genres: 'Action','Adventure','Fantasy' | Rating: 5.8
Clash of the Titans | Genres: 'Action','Adventure','Fantasy' | Rating: 5.6
"
The Amazing Spider-Man,"
Recommended Movies: 
The Amazing Spider-Man 2 | Genres: 'Action','Adventure','Fantasy' | Rating: 6.5
(500) Days of Summer | Genres: 'Comedy','Drama','Romance' | Rating: 7.2
Clash of the Titans | Genres: 'Action','Adventure','Fantasy' | Rating: 5.6
Pirates of the Caribbean: The Curse of the Black Pearl | Genres: 'Action','Adventure','Fantasy' | Rating: 7.5
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Conan the Destroyer | Genres: 'Action','Adventure','Fantasy' | Rating: 5.8
The Hobbit: The Battle of the Five Armies | Genres: 'Action','Adventure','Fantasy' | Rating: 7.1
The Last Witch Hunter | Genres: 'Action','Adventure','Fantasy' | Rating: 5.7
Highlander | Genres: 'Action','Adventure','Fantasy' | Rating: 6.8
Batman v Superman: Dawn of Justice | Genres: 'Action','Adventure','Fantasy' | Rating: 5.7
"
Robin Hood,"
Recommended Movies: 
Gladiator | Genres: 'Action','Adventure','Drama' | Rating: 7.9
Exodus: Gods and Kings | Genres: 'Action','Adventure','Drama' | Rating: 5.6
Kingdom of Heaven | Genres: 'Action','Adventure','Drama','History','War' | Rating: 6.6
White Squall | Genres: 'Action','Drama' | Rating: 6.3
Black Rain | Genres: 'Action','Crime','Thriller' | Rating: 6.2
Body of Lies | Genres: 'Action','Drama','Thriller' | Rating: 6.5
Alien | Genres: 'Action','Horror','ScienceFiction','Thriller' | Rating: 7.9
G.I. Jane | Genres: 'Action','Drama' | Rating: 6.0
The Martian | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 7.6
Prometheus | Genres: 'Adventure','Mystery','ScienceFiction' | Rating: 6.3
"
The Hobbit: The Desolation of Smaug,"
Recommended Movies: 
The Hobbit: The Battle of the Five Armies | Genres: 'Action','Adventure','Fantasy' | Rating: 7.1
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
The Lord of the Rings: The Fellowship of the Ring | Genres: 'Action','Adventure','Fantasy' | Rating: 8.0
The Lord of the Rings: The Return of the King | Genres: 'Action','Adventure','Fantasy' | Rating: 8.1
The Lord of the Rings: The Two Towers | Genres: 'Action','Adventure','Fantasy' | Rating: 8.0
The Lovely Bones | Genres: 'Drama','Fantasy' | Rating: 6.6
Heavenly Creatures | Genres: 'Drama','Fantasy' | Rating: 7.0
King Kong | Genres: 'Action','Adventure','Drama' | Rating: 6.6
The Golden Compass | Genres: 'Adventure','Fantasy' | Rating: 5.8
Seventh Son | Genres: 'Adventure','Fantasy' | Rating: 5.2
"
The Golden Compass,"
Recommended Movies: 
The Twilight Saga: New Moon | Genres: 'Adventure','Drama','Fantasy','Romance' | Rating: 5.6
A Better Life | Genres: 'Drama' | Rating: 7.0
The Hobbit: The Desolation of Smaug | Genres: 'Adventure','Fantasy' | Rating: 7.6
The Barbarians | Genres: 'Adventure','Fantasy' | Rating: 5.1
Seventh Son | Genres: 'Adventure','Fantasy' | Rating: 5.2
The 13th Warrior | Genres: 'Action','Adventure','Fantasy' | Rating: 6.4
Jumper | Genres: 'Adventure','Fantasy','ScienceFiction' | Rating: 5.9
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
Pirates of the Caribbean: At World's End | Genres: 'Action','Adventure','Fantasy' | Rating: 6.9
Pirates of the Caribbean: Dead Man's Chest | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
"
King Kong,"
Recommended Movies: 
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
The Lord of the Rings: The Fellowship of the Ring | Genres: 'Action','Adventure','Fantasy' | Rating: 8.0
The Lord of the Rings: The Return of the King | Genres: 'Action','Adventure','Fantasy' | Rating: 8.1
The Lord of the Rings: The Two Towers | Genres: 'Action','Adventure','Fantasy' | Rating: 8.0
The Hobbit: The Battle of the Five Armies | Genres: 'Action','Adventure','Fantasy' | Rating: 7.1
Heavenly Creatures | Genres: 'Drama','Fantasy' | Rating: 7.0
The Hobbit: The Desolation of Smaug | Genres: 'Adventure','Fantasy' | Rating: 7.6
The Lovely Bones | Genres: 'Drama','Fantasy' | Rating: 6.6
Crossover | Genres: 'Action','Adventure','Drama' | Rating: 4.2
天將雄師 | Genres: 'Action','Adventure','Drama' | Rating: 5.9
"
Titanic,"
Recommended Movies: 
True Lies | Genres: 'Action','Thriller' | Rating: 6.8
The Abyss | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.1
The Terminator | Genres: 'Action','ScienceFiction','Thriller' | Rating: 7.3
Aliens | Genres: 'Action','Horror','ScienceFiction','Thriller' | Rating: 7.7
Terminator 2: Judgment Day | Genres: 'Action','ScienceFiction','Thriller' | Rating: 7.7
Avatar | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 7.2
Die Büchse der Pandora | Genres: 'Drama','Romance','Thriller' | Rating: 7.6
Cruel Intentions | Genres: 'Drama','Romance','Thriller' | Rating: 6.6
Revolutionary Road | Genres: 'Drama','Romance' | Rating: 6.7
The Phantom of the Opera | Genres: 'Drama','Romance','Thriller' | Rating: 7.0
"
Captain America: Civil War,"
Recommended Movies: 
Captain America: The Winter Soldier | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.6
Welcome to Collinwood | Genres: 'Comedy' | Rating: 6.2
You, Me and Dupree | Genres: 'Comedy','Romance' | Rating: 5.4
Iron Man 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Iron Man 3 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
AVP: Alien vs. Predator | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.5
"
Battleship,"
Recommended Movies: 
The Rundown | Genres: 'Action','Adventure','Comedy','Thriller' | Rating: 6.4
Lone Survivor | Genres: 'Action','Drama','Thriller','War' | Rating: 7.4
The Kingdom | Genres: 'Action','Drama','Thriller' | Rating: 6.5
Hancock | Genres: 'Action','Fantasy' | Rating: 6.2
Very Bad Things | Genres: 'Comedy','Crime','Thriller' | Rating: 6.2
Green Lantern | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.1
The Core | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.4
Serenity | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.4
Predator | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.3
A Sound of Thunder | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 4.8
"
Jurassic World,"
Recommended Movies: 
Safety Not Guaranteed | Genres: 'Comedy','Drama','Romance','ScienceFiction' | Rating: 6.8
G.I. Joe: Retaliation | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.4
A Sound of Thunder | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 4.8
Mad Max: Fury Road | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.2
X-Men: The Last Stand | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.3
X2 | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.8
Impostor | Genres: 'Action','ScienceFiction','Thriller' | Rating: 6.1
I Am Number Four | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.9
Battleship | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.5
Street Fighter: The Legend of Chun-Li | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 3.9
"
Skyfall,"
Recommended Movies: 
Spectre | Genres: 'Action','Adventure','Crime' | Rating: 6.3
Road to Perdition | Genres: 'Crime','Drama','Thriller' | Rating: 7.3
Away We Go | Genres: 'Comedy','Drama','Romance' | Rating: 6.7
Jarhead | Genres: 'Drama','War' | Rating: 6.6
American Beauty | Genres: 'Drama' | Rating: 7.9
Revolutionary Road | Genres: 'Drama','Romance' | Rating: 6.7
The Expendables 2 | Genres: 'Action','Adventure','Thriller' | Rating: 6.1
The Expendables | Genres: 'Action','Adventure','Thriller' | Rating: 6.0
Casino Royale | Genres: 'Action','Adventure','Thriller' | Rating: 7.3
Sorcerer | Genres: 'Action','Adventure','Thriller' | Rating: 7.4
"
Spider-Man 2,"
Recommended Movies: 
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
Spider-Man | Genres: 'Action','Fantasy' | Rating: 6.8
Oz: The Great and Powerful | Genres: 'Adventure','Family','Fantasy' | Rating: 5.7
Army of Darkness | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.3
The Quick and the Dead | Genres: 'Action','Western' | Rating: 6.3
Evil Dead II | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.6
A Simple Plan | Genres: 'Crime','Drama','Thriller' | Rating: 6.9
Drag Me to Hell | Genres: 'Horror','Thriller' | Rating: 6.2
The Evil Dead | Genres: 'Horror' | Rating: 7.3
For Love of the Game | Genres: 'Drama','Romance' | Rating: 6.3
"
Iron Man 3,"
Recommended Movies: 
Kiss Kiss Bang Bang | Genres: 'Action','Comedy','Crime','Mystery' | Rating: 7.2
Iron Man 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Pacific Rim | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Blood of Heroes | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.9
"
